#separator:tab
#html:true
#tags column:7
Achille Talon 	BD et leurs créateurs 	Greg Un homme rondelet, son voisin Hilarion Lefuneste, sa fiancée Virgule de Guillemets 				
Muriel Dacq 	Tubes français des années 80  	Tropique 				leech
Bill Baxter 	Tubes français des années 80  	Embrasse-moi, idiot 				leech
Corynne Charby 	Tubes français des années 80  	Boule de flipper 				
Thierry Hazard 	Tubes français des années 80  	Le Jerk 				
Début de soirée 	Tubes français des années 80  	Nuit de folie 				
François Feldman 	Tubes français des années 80  	Les Valses de Vienne 				
Guesch Patti 	Tubes français des années 80  	Etienne 				
Jean-Luc Lahaye 	Tubes français des années 80  	Papa chanteur 				
Les Forbans 	Tubes français des années 80  	Chante 				
Pierre Bachelet 	Tubes français des années 80  	Elle est d'ailleurs 				
Eric Morena 	Tubes français des années 80  	Oh ! Mon bateau 				
Thierry Pastor 	Tubes français des années 80  	Le Coup de folie 				
Les Avions 	Tubes français des années 80  	Nuit sauvage 				
Alcazar 	Personnages secondaires de Tintin  	Général, ami de Tintin, adversaire de Tapioca pour gouverner le San Theodoros. 				
Allan 	Personnages secondaires de Tintin  	Apparaît dans quatre albums, souvent comme complice de Rastapopoulos. 				
Carreidas 	Personnages secondaires de Tintin  	Milliardaire maladif, tricheur et irrespectueux qui prend Tintin dans son jet privé pour la fin du voyage vers Sydney. 				
Loiseau 	Personnages secondaires de Tintin  	Antiquaires et propriétaires du château de Moulinsart jusqu'à ce que celui-ci soit racheté par Tournesol. 				
Müller 	Personnages secondaires de Tintin  	"Docteur ennemi de Tintin dans ""L'Île Noire"", ""Tintin au pays de l'or noir"" et ""Coke en stock"". "				
Rastapopoulos 	Personnages secondaires de Tintin  	Pire ennemi de Tintin, riche homme d'affaires qui gère des organisations criminelles. 				
Séraphin Lampion 	Personnages secondaires de Tintin  	Représentant des Assurances Mondass, archétype du casse-pieds. 				
Sponsz 	Personnages secondaires de Tintin  	"Chef de la police secrète de Bordurie, ennemi de Tintin dans ""L'Affaire Tournesol"" et ""Tintin et les Picaros"". "				
Szut 	Personnages secondaires de Tintin  	"Pilote d'avion dans ""Coke en stock"" et pilote du jet de Carreidas dans ""Vol 714 pour Sydney"". "				
Tapioca 	Personnages secondaires de Tintin  	Grand rival du général Alcazar, il convoite la présidence du San Theodoros. 				
Wolff 	Personnages secondaires de Tintin  	Ingénieur adjoint de Tournesol en vue du voyage vers la Lune, traître qui finit par se suicider pour sauver Tintin. 				
Abdallah 	Personnages secondaires de Tintin  	"Dans ""Tintin au Pays de l'or noir"", fils turbulent de l'émir du Khemed qui joue souvent avec des pétards. "				
Foudre Bénie 	Personnages secondaires de Tintin  	Lama tibétain vivant dans le monastère de Khor-Biyong. Il possède la faculté de léviter et ce don s'accompagne alors de celui de clairvoyance. 				
Irma 	Personnages secondaires de Tintin  	C'est la camériste (femme de chambre) de Bianca Castafiore. 				
Mitsuhirato 	Personnages secondaires de Tintin  	"Trafiquant d'opium japonais, ennemi de Tintin dans ""Le Lotus bleu"". "				
Philippulus 	Personnages secondaires de Tintin  	"Collaborateur du professeur Calys dans ""L'Étoile mystérieuse"", il est probablement frappé de folie après avoir appris la prétendue immédiateté de la fin du monde. "				
Ranko 	Personnages secondaires de Tintin  	Gorille utilisé par les faux-monnayeurs pour effrayer les gens du village afin de les éloigner de l'île Noire. 				
Ridgewell 	Personnages secondaires de Tintin  	"Explorateur anglais ayant disparu lors d'une mission d'exploration en Amazonie. Dans ""L'Oreille cassée"", Tintin le rencontre chez les Indiens arumbayas. "				
Wagner 	Personnages secondaires de Tintin  	C'est le pianiste de Bianca Castafiore. 				
Zorrino 	Personnages secondaires de Tintin  	Jeune Indien quechua, marchand d'oranges, qui conduit Tintin vers le temple du Soleil. 				
Le Kid 	Filmographie de Charlie Chaplin 	La mère d'un jeune enfant, ne pouvant le faire vivre, décide de l'abandonner. Il est recueilli par un vitrier miséreux. Le jeune Jackie Coogan avait 7 ans lors du tournage. 				
La Ruée vers l'or 	Filmographie de Charlie Chaplin 	Charlot, un prospecteur, se rend dans une cabane où il rencontre Big Jim avec qui il part à la recherche d'une mine d'or. On y trouve la célèbre danse des petits pains. 				
Le Cirque 	Filmographie de Charlie Chaplin 	Charlot est engagé comme clown et tombe amoureux de l'écuyère mais son rival le fait renvoyer. Les soucis conjugaux de Chaplin ont failli causer la perte du film. 				
Les Lumières de la ville 	Filmographie de Charlie Chaplin 	Charlot tombe amoureux d'une jeune fleuriste aveugle qui le croit riche. La scène au cours de laquelle la fleuriste aveugle prend le vagabond pour un homme riche a nécessité un record de 342 prises. 				
Les Temps modernes 	Filmographie de Charlie Chaplin 	Charlot est ouvrier dans une usine mais ne supporte plus cet emploi. Il rencontre une jeune fille à qui il va s'allier pour affronter les difficultés de la vie. L'actrice Paulette Goddard, qui fut aussi la compagne de Chaplin, joue la petite amie de Charlot. 				
Le Dictateur 	Filmographie de Charlie Chaplin 	Dans le ghetto juif vit un petit barbier qui ressemble à Hynkel, le dictateur de Tomania qui a décidé l'extermination du peuple juif. Chaplin se moque ouvertement d'Hitler, né 4 jours après lui. 				
Monsieur Verdoux 	Filmographie de Charlie Chaplin 	Un bon père et bon époux séduit puis assassine douze femmes... L'histoire est librement inspirée des crimes de Landru. 				
Les Feux de la rampe 	Filmographie de Charlie Chaplin 	Un vieux chanteur de music-hall (Calvero) à la retraite veut aider une danseuse de ballet dans son apprentissage. On y voit Buster Keaton et Chaplin jouer une scène mythique ensemble. 				
Un roi à New York 	Filmographie de Charlie Chaplin 	A cause d'une révolution dans son pays, le roi Shahdov s'exile. Abattu, il se présente à la télévision pour gagner un peu d'argent. Sorti en 1957 en Europe, ce film ne fut diffusé aux Etats-Unis qu'au début des années 70. 				
La Comtesse de Hong Kong 	Filmographie de Charlie Chaplin 	Ogden Mears est un ambassadeur américain qui découvre, cachée dans sa cabine de bateau, une aristocrate russe. Dernier film de Chaplin et  son seul film en couleurs. 				
La Belle Equipe 	Filmographie de Jean Gabin 	"Cinq ouvriers chômeurs parisiens gagnent le gros lot de la loterie nationale. Gabin chante ""Quand on s'promène au bord de l'eau"". "				
Pépé le Moko 	Filmographie de Jean Gabin 	"La police cherche à coincer un caïd du milieu parisien, réfugié dans la Casbah d'Alger avec sa bande. La chanteuse Fréhel joue un rôle et interprète la chanson ""Où est-il donc ?"". "				
La Grande Illusion 	Filmographie de Jean Gabin 	En 1917, dans un camp en Allemagne, deux ennemis se lient d'amitié: l'officier allemand Von Rauffenstein qui dirige le camp et le capitaine de Boïeldieu, un de ses prisonniers. En raison de son esprit pacifiste, le film fut interdit en France sous l'Occupation. 				
Le Quai des brumes 	Filmographie de Jean Gabin 	"Jean, déserteur, arrive au Havre d'où il veut quitter la France. Dans un bistrot, il fait la connaissance de Nelly. C'est dans ce film que se trouve la célèbre réplique de Jean Gabin à Michèle Morgan : ""T'as d'beaux yeux, tu sais !"". "				
Le jour se lève 	Filmographie de Jean Gabin 	François vient d'assassiner Valentin. Assiégé par la police après s'être barricadé dans son appartement, il repasse les événements qui l'ont conduit au crime. Une scène où Arletty est nue sous la douche a été censurée. 				
Touchez pas au grisbi 	Filmographie de Jean Gabin 	Max et Riton sont deux truands associés depuis vingt ans. Premier volet d'une trilogie d'Albert Simonin. 				
La Traversée de Paris 	Filmographie de Jean Gabin 	Sous l'Occupation, Martin et Grandgil livrent des colis au marché noir. On entend Gabin hurler l'adresse de Jambier, joué par de Funès (45 Rue Poliveau). 				
Le Président 	Filmographie de Jean Gabin 	Retiré de la politique depuis des années, Émile Beaufort partage ses loisirs entre la promenade et la rédaction de ses mémoires. Le réalisateur s'est inspiré des conflits politiques de la IVe République en France. 				
Le cave se rebiffe 	Filmographie de Jean Gabin 	"Charles, Lucas et Eric montent une affaire de fausse monnaie avec le ""Dabe"". Deuxième volet d'une trilogie d'Albert Simonin. "				
Un singe en hiver 	Filmographie de Jean Gabin 	L'hôtelier d'un village normand a juré à sa femme de ne plus boire d'alcool mais l'arrivée de Fouquet va changer la donne. Belmondo exécute une célèbre scène de corrida avec des voitures. 				
Mélodie en sous-sol 	Filmographie de Jean Gabin 	Sortant de prison, Charles a déjà un plan pour un casse au casino de Cannes. Costa-Gavras et Pinoteau furent assistants réalisateurs sur ce film. 				
Le Tatoué 	Filmographie de Jean Gabin 	Mezeray, marchand de tableaux, découvre qu'un ancien légionnaire a comme tatouage un véritable Modigliani. Dernier film réunissant Gabin et de Funès. 				
Le Clan des Siciliens 	Filmographie de Jean Gabin 	Sartet, un truand, s'évade avec la complicité de sa sœur et d'une famille mafieuse, les Manalese, dirigée par le patriarche Vittorio. Seul film réunissant Gabin, Delon et Ventura. 				
Le Chat 	Filmographie de Jean Gabin 	Huis clos autour d'un vieux couple qui ne se supporte plus. Adaptation d'un roman de Simenon. 				
Chacun son tour 	Jeux TV actuels 	Trente candidats font partie d'un public et deux sont tirés au sort pour s'affronter sur des questions de culture générale. Le vainqueur peut jouer au billard japonais pour gagner des cadeaux ou de l'argent. Bruno Guillon 				
Des chiffres et des lettres 	Jeux TV actuels 	"2 joueurs s'affrontent en jouant au ""Compte est bon"" et au ""Mot le plus long"". Laurent Romejko "				
Duels en familles 	Jeux TV actuels 	Deux familles s'affrontent sur des questions de culture générale pendant toute une semaine d'émissions. Cyril Féraud 				
La Carte aux trésors 	Jeux TV actuels 	Deux candidats s'opposent dans un jeu de piste dont les énigmes sont liées à la culture locale. Ils utilisent principalement l'hélicoptère pour se rendre dans les différentes zones de jeu afin de progresser. Cyril Féraud 				
Les 12 coups de midi 	Jeux TV actuels 	4 candidats s'affrontent dans des quiz. Le vainqueur peut tenter le coup de maître puis l'étoile mystérieuse. Jean-Luc Reichmann 				
Questions pour un champion 	Jeux TV actuels 	4 candidats s'affrontent sur des questions de culture générale, d'abord au 9 points gagnants, puis au 4 à la suite et enfin en face-à-face. Samuel Etienne 				
N'oubliez pas les paroles ! 	Jeux TV actuels 	Un candidat chante une partie d'une chanson francophone en lisant les paroles. Lorsque l'accompagnement musical et l'affichage du texte s'arrêtent, il doit continuer à chanter a cappella et retrouver un certain nombre de mots. Nagui 				
Slam 	Jeux TV actuels 	3 candidats trouvent des lettres pour remplir une grille de mots croisés. Cyril Féraud 				
Tout le monde a son mot à dire 	Jeux TV actuels 	Aidés de personnalités, deux candidats se prêtent à des questions portant sur la langue française et la culture générale. Olivier Minne et Sidonie Bonnec 				
Tout le monde veut prendre sa place 	Jeux TV actuels 	6 candidats s'affrontent dans des quiz et le vainqueur affronte le champion en titre. Laurence Boccolini 				
Albator 78 	Dessins animés TV  	Corsaire de l'espace combattant les Sylvidres. Alfred, Esmeralda, Nausicaa, Mima 				
Bouba 	Dessins animés TV  	Un petit ourson et sa soeur sont recueillis par un jeune Indien. Moy, Frisquette, Daklahoma 				
Caliméro 	Dessins animés TV  	Un poussin noir, portant une coquille d'œuf à moitié brisée, sur qui le sort s'acharne. Priscilla, Pierrot, Cochonnet. 				
Cobra 	Dessins animés TV  	Un flibustier au bras gauche dissimulant une arme combat les Pirates de l'Espace. Armanoïde, Catherine et Dominique Nelson 				
Death Note 	Dessins animés TV  	Un lycéen découvre un cahier permettant de tuer à distance. Light Yagami, L, Ryuk. 				
Dragon Ball 	Dessins animés TV  	Raconte l'enfance d'un enfant à queue de singe très doué pour les arts martiaux. Son Goku, Krilin, Bulma, Tortue Géniale 				
Jeanne et Serge 	Dessins animés TV  	Une lycéenne se découvre une passion pour le volley-ball et pour un volleyeur. Jeanne et Serge 				
Lady Oscar 	Dessins animés TV  	Une jeune femme élevée en garçon reçoit une éducation militaire et devient capitaine de la garde royale. André Grandier, Marie-Antoinette 				
Les Chevaliers du Zodiaque 	Dessins animés TV  	Athéna revient sur terre pour protéger la race humaine des attaques incessantes des différents dieux désireux de contrôler le monde. Seiya, Shiryû, Hyôga, Shun, Ikki 				
Les Fous du volant 	Dessins animés TV  	Onze bolides participent à des courses déjantées où la malhonnêteté règne. Satanas et Diabolo, les Frères Têtes-Dures. 				
Les Simpson 	Dessins animés TV  	Stéréotype d'une famille de classe moyenne qui est une satire du mode de vie américain. Homer, Marge, Bart, Lisa et Maggie 				
Maya l'Abeille 	Dessins animés TV  	Une jeune abeille n'a qu'une envie&nbsp,: découvrir le monde en compagnie de ses amis. Willy, Flip, Max 				
Naruto 	Dessins animés TV  	"Un jeune orphelin cancre et farceur fait toutes les bêtises possibles pour se faire remarquer et rêve de devenir ""Hokage"". Sakura Haruno, Sasuke Uchiwa, Kakashi Hatake "				
Signé Cat's Eyes 	Dessins animés TV  	Trois sœurs tiennent un café durant la journée et se transforment la nuit en voleuses. Sylia, Tam et Alexia 				
Ulysse 31 	Dessins animés TV  	Transcription de l'Odyssée d'Homère dans un futur lointain. Télémaque, Thémis, Nono 				
Bibifoc 	Dessins animés TV  	Un bébé phoque, un garçon passionné par la nature et une jeune Inuit combattent les chasseurs de phoques. Tommy, Ayma 				
Candy 	Dessins animés TV  	Une jeune fille farfelue et exubérante est élevée dans un orphelinat. Annie, Capucin, Allistair 				
Capitaine Caverne 	Dessins animés TV  	Un homme préhistorique piégé dans un bloc de glace est découvert puis libéré par trois jeunes femmes. Brenda, Dee Dee, Taffy 				
Capitaine Flam 	Dessins animés TV  	Curtis Newton consacre sa vie à préserver la paix et l'ordre dans l'univers. Johann, Crag, Mala, Simon 				
Cosmocats 	Dessins animés TV  	Combat entre une race de félins humanoïdes et les Mutants, race de monstres diaboliques. Starlion, Tigro, Mumm-Ra 				
Gigi 	Dessins animés TV  	La Princesse du pays des Rêves du Ciel est envoyée sur Terre pour aider les humains à retrouver leurs rêves. Robert, Daisy, le roi et la reine de Fenarinarsa 				
Les Minipouss 	Dessins animés TV  	Une famille de créatures mi-humaines mi-souris vit clandestinement dans les maisons des humains. Tom, Lucie, Grand'Pa, Charlie 				
Les Mondes engloutis 	Dessins animés TV  	Depuis le grand cataclysme, les Arkadiens vivaient blottis au centre de la Terre. Spartakus, Arkana, Bic et Bac 				
Olive et Tom 	Dessins animés TV  	Histoire d'un jeune garçon qui rêve de devenir le meilleur footballeur au monde. Olivier Atton, Thomas Price 				
Oum le dauphin blanc 	Dessins animés TV  	Retrace les aventures d'un dauphin blanc très intelligent et de ses jeunes amis. Yann, Marina, Patrick 				
Pokemon 	Dessins animés TV  	Un jeune garçon parcourt le monde avec son fidèle compagnon pour obtenir huit badges. Sacha, Pikachu, Ondine 				
Princesse Sarah 	Dessins animés TV  	Une enfant de huit ans est placée dans un pensionnat. A la mort de son père, elle est exploitée en tant que servante et bonne à tout faire. Ralph Crewe, Mlle Mangin, Becky, Lavinia 				
Rémi sans famille 	Dessins animés TV  	Dans le Massif Central, un jeune enfant est vendu à un artiste de rue. Vitalis, Capi, Joli-Coeur, Mme Barberin 				
South Park 	Dessins animés TV  	Dessin animé satirique mettant en scène les aventures de quatre enfants d'école primaire au Colorado. Cartman, Kenny, Kyle, Stan 				
Transformers 	Dessins animés TV  	Deux groupes de robots pouvant être transformés en véhicules s'affrontent. Les Autobots et les Decepticons 				
Belle et Sébastien 	Dessins animés TV  	L'histoire d'amitié entre un enfant et son chien, un Montagne des Pyrénées. Belle et Sébastien 				
Boumbo 	Dessins animés TV  	Une petite voiture jaune est à la recherche de ses parents. Ken, Professeur Moquette, Monsieur 				
Futurama 	Dessins animés TV  	Un jeune livreur de pizzas à New York est accidentellement cryogénisé et se réveille mille ans plus tard. Fry, Bender 				
Goldorak 	Dessins animés TV  	Après l'attaque de Véga, le prince d'Euphor s'empare d'un robot géant perfectionné et s'enfuit pour la Terre. Actarus, Alcor, Vénusia 				
Heidi 	Dessins animés TV  	Une petite fille est confiée à son grand-père qui vit dans la montagne en Suisse. Grand-Père, Pierre, Claire 				
Inspecteur Gadget 	Dessins animés TV  	Un cyberpolicier naïf et chanceux résout ses enquêtes grâce à sa nièce et son chien. Sophie, Finot, Gadget. 				
Jayce et les Conquérants de la Lumière 	Dessins animés TV  	Un biologiste crée par erreur des espèces mi-végétales mi-animales dotées d'intelligence et habitées par la Lumière Noire. Audric, Diskor, Oon, Herc 				
Ken le Survivant 	Dessins animés TV  	Le monde a été ravagé par une gigantesque explosion atomique et seuls les plus forts font leur loi. Raoh, Souther, Toki 				
Les Entrechats 	Dessins animés TV  	Les aventures d'un chef d'une bande de chats et d'un gros chat orange à rayures. Isidore, Rif Raf, Bruno, Brutus 				
Les Maîtres de l'Univers 	Dessins animés TV  	Le héros de la série est le prince Adam, le fils du roi, qui peut se transformer en l'homme le plus fort du monde. Musclor, Skeletor 				
Les Mystérieuses Cités d'or 	Dessins animés TV  	Un jeune orphelin semble être capable d’appeler le Soleil et accepte l’offre d’un mystérieux marin de partir vers le Nouveau Monde. Esteban, Zia, Tao, Mendoza, Pedro et Sanchez 				
Mister Magoo 	Dessins animés TV  	Les aventures d'un vieux monsieur petit, chauve et très digne mais myope comme une taupe. Magoo, le chien Barker 				
Nicky Larson 	Dessins animés TV  	Un policier obstiné aux méthodes peu conventionnelles a quelques petites faiblesses dont les femmes ! Toni et Laura Marconi 				
One Piece 	Dessins animés TV  	Le héros prend la mer à la recherche d'un équipage et avec pour objectif de devenir le seigneur des pirates. Luffy, Zoro roronoa 				
Tom Sawyer 	Dessins animés TV  	Cette série met en scène six mois d'aventures d'un jeune orphelin et de son meilleur ami sur les rives du Mississippi. Huck, Becky, Tante Polly, Sid 				
Frodon Sacquet 	Personnages du Seigneur des Anneaux 	Personnage principal, hobbit qui amène l'Anneau unique jusqu'à la Montagne du Destin afin de le détruire. 				
Gandalf 	Personnages du Seigneur des Anneaux 	"Magicien, membre de la Communauté de l'Anneau. D'abord dit ""le Gris"", il devient ""le Blanc"" après avoir vaincu le Balrog. "				
Sam Gamegie 	Personnages du Seigneur des Anneaux 	Hobbit, jardinier de Frodon Sacquet. 				
Aragorn 	Personnages du Seigneur des Anneaux 	"Rôdeur, héritier du royaume réunifié de l'Arnor et du Gondor, membre de la Communauté de l'Anneau. Aussi appelé ""Grands-Pas"". "				
Boromir 	Personnages du Seigneur des Anneaux 	Homme qui appartient à la Communauté de l'Anneau. Meurt tué par des orques. 				
Legolas 	Personnages du Seigneur des Anneaux 	Représentant des Elfes dans la Communauté de l'Anneau. 				
Gimli 	Personnages du Seigneur des Anneaux 	Représentant des Nains dans la Communauté de l'Anneau. 				leech
Bilbon Sacquet 	Personnages du Seigneur des Anneaux 	Hobbit qui laisse l'Anneau à son neveu et part avec l'idée de finir sa vie chez les Elfes. 				
Galadriel 	Personnages du Seigneur des Anneaux 	Une Elfe qui offre l'hospitalité à la Communauté. Dans le film, elle est la narratrice. 				
Gollum 	Personnages du Seigneur des Anneaux 	Hobbit aussi appelé Sméagol qui cherche à récupérer l'Anneau (son précieux). 				
Saroumane 	Personnages du Seigneur des Anneaux 	Magicien puissant, ennemi de la Communauté de l'Anneau. 				leech
Sauron 	Personnages du Seigneur des Anneaux 	Seigneur des Ténèbres, habitant le Mordor, qui souhaite récupérer l'Anneau. 				
Docteur Quinn, femme médecin 	Séries TV médicales 	Une femme parvient à se faire accepter en tant que médecin par les habitants de Colorado Springs. Jane Seymour 				
Dr House 	Séries TV médicales 	Un brillant médecin misanthrope dirige une équipe de «&nbsp,diagnosticiens&nbsp,» dans un hôpital du New Jersey. Hugh Laurie, Lisa Edelstein 				
Grey's anatomy 	Séries TV médicales 	Cette série met en scène une équipe médicale d’un hôpital fictif de Seattle&nbsp,: le Seattle Grace Hospital. Ellen Pompeo, Patrick Dempsey 				
H 	Séries TV médicales 	Dans un hôpital de Trappes, le standardiste, les infirmiers et le brancardier entretiennent une ambiance farfelue. Jamel Debbouze, Eric Judor 				
Hippocrate 	Séries TV médicales 	À la suite de mesures sanitaires, les médecins titulaires d'un service de médecine interne sont confinés chez eux. Trois internes inexpérimentés et un médecin légiste vont devoir faire bloc pour gérer seuls le service et les malades. Louise Bourgoin, Alice Belaïdi, Zacharie Chasseriaud, Karim Leklou 				
La clinique de la Forêt-Noire 	Séries TV médicales 	Cette série met en scène le quotidien de l'équipe médicale et des patients d'une clinique allemande. Klausjürgen Wussow, Gaby Dohm 				
MASH 	Séries TV médicales 	La série se concentre sur le personnel d'un hôpital de campagne de l'armée américaine pendant la Guerre de Corée. Alan Alda, Loretta Swift 				
Médecins de nuit 	Séries TV médicales 	Cette série créée par Bernard Kouchner met en scène une équipe de médecins en situation d'urgence. Catherine Allégret, Etienne Chicot 				
Nip/Tuck 	Séries TV médicales 	Deux chirurgiens esthétiques possèdent une clinique à Miami. Dylan Walsh, Julian McMahon 				
Scrubs 	Séries TV médicales 	On suit le personnel de l'hôpital du Sacré-Cœur, et notamment l'interne John «&nbsp,J.D.&nbsp,» Dorian. Zach Braff, Sarah Chalke 				
Urgences 	Séries TV médicales 	Cette série met en scène la vie d'un service de l'hôpital universitaire Cook County de Chicago. Anthony Edwards, George Clooney, Noah Wyle 				
Fear and Desire 	Filmographie de Stanley Kubrick 	Dans une guerre abstraite en terre inconnue, une patrouille militaire de quatre hommes, le lieutenant Corby, le sergent Mac et deux soldats, Fletcher et Sidney, se retrouvent derrière les lignes ennemies après que leur avion se soit écrasé. Premier long-métrage de Kubrick, celui-ci n'était pas satisfait du résultat final, cherchant même dans un premier temps à le faire disparaître. Frank Silvera, Kenneth Harp, Paul Mazursky 				
L'Ultime Razzia 	Filmographie de Stanley Kubrick 	Johnny Clay organise un casse pour s'emparer de la caisse d'un champ de course un jour de grande affluence. Premier succès commercial qui lança la carrière de Kubrick. Sterling Hayden, Coleen Gray 				
Les Sentiers de la gloire 	Filmographie de Stanley Kubrick 	Pendant la Guerre 14-18, le colonel Dax prend la défense de trois de ses hommes, accusés de ne pas avoir respecté les ordres. Le film ne sera projeté en France que 18 ans après sa sortie. Kirk Douglas, Ralph Meeker, Adolphe Menjou 				
Spartacus 	Filmographie de Stanley Kubrick 	Un esclave thrace prend la tête d'une révolte contre Rome. Adaptation du roman éponyme de Howard Fast. Kirk Douglas, Laurence Olivier, Peter Ustinov 				
Dr Folamour ou : Comment j'ai appris à ne plus m'en faire et à aimer la bombe 	Filmographie de Stanley Kubrick 	En pleine guerre froide, un général américain décide d’envoyer ses B-52 frapper l’URSS. L'acteur principal interprète trois rôles à lui seul. Peter Sellers, George C. Scott 				
2001, l'Odyssée de l'espace 	Filmographie de Stanley Kubrick 	"Le film retrace, à travers différentes époques, le rôle joué par une intelligence inconnue dans l'évolution de l'humanité. Partiellement inspiré d'une nouvelle d'Arthur C. Clarke ""La Sentinelle"". Keir Dullea, Gary Lockwood "				
Orange mécanique 	Filmographie de Stanley Kubrick 	Alex DeLarge est un jeune délinquant passionné par Beethoven, obsédé par le sexe et adepte de la violence. Adapté d'un roman d'Anthony Burgess. Malcolm McDowell, Patrick Magee 				
