#separator:tab
#html:true
#tags column:7
Kilogramme 	Les 7 unités de base du système international 	kg Masse 	A partir de mai 2019, cette unité est définie en fonction de la valeur numérique fixée de la constante de Planck. 	Masse d'un litre d'eau 		
10^-2 	Préfixes associés aux puissances de 10 négatives 	centi 	c 			
10^-3 	Préfixes associés aux puissances de 10 négatives 	milli 	m 			
10^-6 	Préfixes associés aux puissances de 10 négatives 	micro 	µ 			
10^-9 	Préfixes associés aux puissances de 10 négatives 	nano 	n 			
10^-12 	Préfixes associés aux puissances de 10 négatives 	pico 	p 			
10^-15 	Préfixes associés aux puissances de 10 négatives 	femto 	f 			
10^-18 	Préfixes associés aux puissances de 10 négatives 	atto 	a 			
10^-21 	Préfixes associés aux puissances de 10 négatives 	zepto 	z 			
10^-24 	Préfixes associés aux puissances de 10 négatives 	yocto 	y 			
10^-27 	Préfixes associés aux puissances de 10 négatives 	Ronto 	r 			
10^-30 	Préfixes associés aux puissances de 10 négatives 	Quecto 	q 			
Alois Alzheimer 	Figures de la médecine  	"Médecin et neurologue allemand ayant découvert une démence portant aujourd&#x27;hui son nom. 1864-1915 "				
Avicenne 	Figures de la médecine  	"Médecin persan auteur du Canon, ouvrage qui fut longtemps utilisé dans l&#x27;enseignement de la médecine, y compris en Occident. 980-1037 "				
Christiaan Barnard 	Figures de la médecine  	Chirurgien sud-africain auteur de la première transplantation cardiaque humaine. 1922-2001 				
Claude Bernard 	Figures de la médecine  	Médecin français considéré comme le père de la médecine expérimentale. 1813-1878 				
Xavier Bichat 	Figures de la médecine  	"Médecin français spécialiste de l&#x27;anatomie et ayant notamment laissé son nom aux boules de graisse constituant les joues. 1771-1802 "				
Christian Cabrol 	Figures de la médecine  	Médecin et chirurgien français ayant réalisé la première transplantation cardiaque en Europe. 1925-2017 				
Jean-Martin Charcot 	Figures de la médecine  	Médecin français spécialiste de neurologie , il a laissé son nom à une maladie dégénérative aussi appelée sclérose latérale amyotrophique. 1825-1893 				
Jean-Nicolas Corvisart 	Figures de la médecine  	Médecin personnel de Napoléon. 1755-1821 				
Dioscoride 	Figures de la médecine  	"Médecin grec à l&#x27;origine de nombreuses connaissances dans le domaine des plantes médicinales. Environ 40-90 "				
Guillaume-Benjamin Duchenne 	Figures de la médecine  	Médecin du XIXe siècle et le fondateur de la neurologie, une forme d’atrophie musculaire porte aujourd’hui son nom (la myopathie de &quot;NOM&quot;). 1806-1875 				
Barthélémy Eustache 	Figures de la médecine  	"Médecin et anatomiste italien ayant laissé son nom à un canal reliant l&#x27;oreille à l&#x27;arrière du nez. 1510-1574 "				
Guillaume Dupuytren 	Figures de la médecine  	Médecin et chirurgien militaire français, ayant notamment laissé son nom à une maladie touchant les mains. 1777 - 1835 				
Gabriel Fallope 	Figures de la médecine  	"Médecin italien spécialiste de l&#x27;anatomie, notamment de la tête. Il a laissé son nom à une partie de l&#x27;appareil génital féminin. 1523 - 1562 "				
Sigmund Freud 	Figures de la médecine  	Médecin et neurologue autrichien, il est le fondateur de la psychanalyse. 1856 - 1939 				
Claude Galien 	Figures de la médecine  	"Médecin grec qui est considéré comme l&#x27;un des pères de la pharmacie. Environ 129 - 200 "				
Samuel Hahnemann 	Figures de la médecine  	"Médecin allemand qui est à l&#x27;origine de l&#x27;homéopathie. 1755 - 1843 "				
William Harvey 	Figures de la médecine  	Médecin anglais qui fut le premier à décrire la circulation sanguine dans son ensemble. 1578 - 1657 				
Hippocrate 	Figures de la médecine  	Médecin grec qui est considéré comme le père de la médecine. Environ -460 à -370 				
Edward Jenner 	Figures de la médecine  	Médecin anglais ayant inventé le vaccin contre la variole. 1749 - 1823 				
Robert Koch 	Figures de la médecine  	Médecin allemand ayant découvert la bactérie (bacille) responsable de la tuberculose. 1843 -1910 				
René Laennec 	Figures de la médecine  	"Médecin français qui met au point la technique de l&#x27;auscultation. Il est l&#x27;inventeur du stéthoscope. 1781 - 1826 "				
William Cullen 	Figures de la médecine  	"Médecin et chimiste britannique, c&#x27;est le premier à donner une définition de la névrose. 1710-1790 "				
Dominique-Jean Larrey 	Figures de la médecine  	"Médecin français, chirurgien en chef de la Grande Armée, père de la médecine d&#x27;urgence. 1766-1842 "				
Joseph Lister 	Figures de la médecine  	"Médecin et chirurgien britannique ayant prôné l&#x27;utilisation des antiseptiques , ce genre de bactéries a été nommé en son honneur. 1827-1912 "				
Henri de Mondeville 	Figures de la médecine  	Médecin militaire français, chirurgien de Philippe IV le Bel et Louis X le Hutin, il est le premier écrivain français en chirurgie. 1260-1320 				
Paracelse 	Figures de la médecine  	Médecin suisse également alchimiste et astrologue , prôna une rupture avec la tradition. 1493-1541 				
Ambroise Paré 	Figures de la médecine  	"Médecin français considéré comme l&#x27;un des pères de la chirurgie moderne , remplace la cautérisation par la ligature des artères dans les amputations. 1510-1590 "				
James Parkinson 	Figures de la médecine  	Médecin et neurologue anglais ayant décrit la &quot;paralysie agitante&quot;, maladie qui prendra plus tard son nom. 1755-1824 				
Ivan Pavlov 	Figures de la médecine  	Médecin russe qui met en lumière les réflexes conditionnels. 1849-1936 				
Albert Schweitzer 	Figures de la médecine  	"Médecin français précurseur de l&#x27;aide humanitaire avec son hôpital de Lambaréné, au Gabon. 1875-1965 "				
Ignace Semmelweis 	Figures de la médecine  	"Médecin austro-hongrois qui démontra l&#x27;utilité de se laver les mains, notamment avant d&#x27;effectuer un accouchement. 1818-1865 "				
Alfred Velpeau 	Figures de la médecine  	"Médecin français à l&#x27;origine d&#x27;un bandage portant son nom. 1795-1867 "				
André Vésale 	Figures de la médecine  	Bruxellois, grand anatomiste, médecin de Charles Quint. 1514-1564 				
Alexandre Yersin 	Figures de la médecine  	Médecin bactériologue franco-suisse ayant découvert le bacille de la peste. 1863-1943 				
Youri Gagarine 	Pionniers de la conquête spatiale 	"Premier homme dans l&#x27;espace en 1961, dans le cadre de la mission Vostok 1 "				
Alan Shepard 	Pionniers de la conquête spatiale 	"Premier Américain à effectuer un vol suborbital dans l&#x27;espace en 1961 , a également marché sur la Lune en 1971 "				
John Glenn 	Pionniers de la conquête spatiale 	"Premier Américain à effectuer un vol orbital dans l&#x27;espace en 1962 dans le cadre du programme Mercury , également le plus âgé avec un vol à 77 ans en 1998 "				
Valentina Terechkova 	Pionniers de la conquête spatiale 	"Première femme dans l&#x27;espace en 1963, dans le cadre de la mission Vostok 6 "				
Alexeï Leonov 	Pionniers de la conquête spatiale 	Premier homme à effectuer une sortie extravéhiculaire en 1965, dans le cadre de la mission Voskhod 2 				
Neil Armstrong 	Pionniers de la conquête spatiale 	Premier homme à avoir marché sur la Lune, le 21 juillet 1969, dans le cadre de la mission Apollo 11 				
Jean-Loup Chrétien 	Pionniers de la conquête spatiale 	"Premier Français dans l&#x27;espace en 1982 , séjourne à bord de la station Saliout 7 "				
Svetlana Savitskaya 	Pionniers de la conquête spatiale 	"Deuxième femme dans l&#x27;espace en 1982, et première femme à effectuer une sortie extravéhiculaire "				
Sally Ride 	Pionniers de la conquête spatiale 	"Troisième femme dans l&#x27;espace, en 1983 "				
Claudie Haigneré 	Pionniers de la conquête spatiale 	"Première Française dans l&#x27;espace, en 1996. "				
Guennadi Padalka 	Pionniers de la conquête spatiale 	"Personne ayant passé le plus de temps dans l&#x27;espace en cumulé (879 jours) "				
Valeri Polyakov 	Pionniers de la conquête spatiale 	"Personne ayant réalisé le plus long séjour dans l&#x27;espace (437 jours consécutifs) "				
Bouche 	Le tube digestif 	"Partie initiale du tube digestif, permettant l&#x27;ingestion "				
Pharynx 	Le tube digestif 	"Carrefour entre les voies aériennes et les voies digestives, situé entre la bouche et l&#x27;œsophage "				
Œsophage 	Le tube digestif 	"Conduit reliant le pharynx à l&#x27;estomac "				
Cardia 	Le tube digestif 	"Orifice supérieur de l&#x27;estomac (fin de l&#x27;œsophage) "				
Estomac 	Le tube digestif 	Poche en forme de J où les aliments ingérés sont mélangés aux sucs gastriques 				
Chyme 	Le tube digestif 	"Substance liquide produite par l&#x27;estomac et contenant la nourriture partiellement digérée "				
Pylore 	Le tube digestif 	"Orifice inférieur de l&#x27;estomac "				
Intestin grêle 	Le tube digestif 	"Se compose du duodénum, du jéjunum et de l&#x27;iléon "				
Duodénum 	Le tube digestif 	"Premier segment de l&#x27;intestin grêle, il est également son seul segment fixe , sa longueur est en moyenne de 12 doigts "				
Jéjunum 	Le tube digestif 	"Deuxième segment de l&#x27;intestin grêle , nommé en référence au jeûne, car on avait constaté qu&#x27;il était moins plein que le reste des intestins "				
Iléon 	Le tube digestif 	"Troisième et dernier segment de l&#x27;intestin grêle, il est également le plus long "				
Gros intestin 	Le tube digestif 	Comprend le cæcum, le côlon et le rectum 				
Cæcum 	Le tube digestif 	"Première partie du gros intestin, qui reçoit le contenu de l&#x27;iléon via la valvule iléo-cæcale "				
Côlon 	Le tube digestif 	Deuxième segment du gros intestin encadrant la cavité abdominale 				
Rectum 	Le tube digestif 	"Dernière partie du tube digestif, nommée d&#x27;après sa forme droite "				
Anus 	Le tube digestif 	Orifice terminal du tube digestif 				
Péristaltisme 	Le tube digestif 	Ensemble des mouvements permettant la progression des aliments dans le tube digestif 				
Adrénaline 	Hormones et leur rôle 	Aussi appelée épinéphrine, cette hormone est sécrétée en situation de stress et accélère le rythme cardiaque. 				
Érythropoïétine 	Hormones et leur rôle 	Provoque une augmentation du nombre de globules rouges dans le sang , aussi appelée EPO. 				
Glucagon 	Hormones et leur rôle 	Provoque une hausse de la quantité de glucose dans le sang , cette hormone est sécrétée par les îlots de Langerhans dans le pancréas. 				
Hormone lutéinisante 	Hormones et leur rôle 	"Chez la femme, cette hormone déclenche l&#x27;ovulation , aussi appelée LH. "				
Hormone de croissance 	Hormones et leur rôle 	Stimule la croissance et agit sur le système reproducteur. 				
Insuline 	Hormones et leur rôle 	Provoque une baisse de la quantité de glucose dans le sang , cette hormone est sécrétée par les îlots de Langerhans dans le pancréas. 				
Leptine 	Hormones et leur rôle 	Cette hormone de la satiété, parfois surnommée &quot;hormone coupe-faim&quot; est produite par les tissus adipeux. 				
Mélatonine 	Hormones et leur rôle 	"Intervient dans les cycles du sommeil et plus généralement dans le fonctionnement de l&#x27;horloge biologique. "				
Ocytocine 	Hormones et leur rôle 	"Hormone permettant d&#x27;accélérer l&#x27;accouchement. On l&#x27;appelle aussi &quot;hormone de l&#x27;amour&quot;. "				
Œstrogène 	Hormones et leur rôle 	Hormone sexuelle davantage présente chez la femme, chez qui elle participe notamment au développement des caractères sexuels secondaires et au cycle menstruel. 				
Progestérone 	Hormones et leur rôle 	Hormone contribuant au cycle menstruel et grandement impliquée dans la gestation. 				
Testostérone 	Hormones et leur rôle 	"Hormone sexuelle davantage présente chez l&#x27;homme, chez qui elle participe notamment au développement des caractères sexuels secondaires. "				
Acier 	Les alliages 	Fer + Carbone (moins de 2 %) 				
Acier inoxydable 	Les alliages 	Fer + Carbone + Nickel + Chrome 				
Amalgame 	Les alliages 	Mercure + autre métal 				
Billon 	Les alliages 	Cuivre + Argent 				leech
Britannium 	Les alliages 	Étain + Cuivre + Antimoine 				
Bronze 	Les alliages 	Cuivre + Étain 				
Électrum 	Les alliages 	Or + Argent 				
Fonte 	Les alliages 	Fer + Carbone (de 2 à 6,67 %) 				
Invar 	Les alliages 	Fer + Nickel 				
Laiton 	Les alliages 	Cuivre + Zinc 				leech
Maillechort 	Les alliages 	Cuivre + Zinc + Nickel 				
Régule 	Les alliages 	Étain ou Plomb + Antimoine 				
Ruolz 	Les alliages 	Nickel + Argent + Cuivre 				
Zamak 	Les alliages 	Zinc + Aluminium + Magnésium (et parfois + Cuivre) 				
Leonardo Fibonacci 	Scientifiques italiens 	"Mathématicien ayant contribué à l&#x27;utilisation des chiffres arabes , a laissé son nom à une suite mathématique permettant de modéliser un problème sur la croissance d&#x27;une population de lapins. Vers 1175 à Pise-Vers 1250 à Pise "				
Galilée 	Scientifiques italiens 	"Inventeur de la lunette astronomique, son ralliement à la théorie héliocentrique le conduisit à être déféré devant le tribunal de l&#x27;Inquisition. 1564 à Pise-1642 à Arcetri "				
Evangelista Torricelli 	Scientifiques italiens 	Physicien et mathématicien connu notamment pour avoir inventé le baromètre. 1608 à Faenza-1647 à Florence 				
Marcello Malpighi 	Scientifiques italiens 	"Médecin et naturaliste italien, considéré comme le fondateur de l&#x27;anatomie microscopique ou histologie. 1628 à Crevalcore-1694 à Rome "				
Luigi Galvani 	Scientifiques italiens 	"Auteur de travaux sur &quot;l&#x27;électricité animale&quot; concernant la propagation électrique du cerveau aux muscles , ces travaux ont conduit à une longue controverse avec Alessandro Volta. 1737 à Bologne-1798 à Bologne "				
Alessandro Volta 	Scientifiques italiens 	"Physicien connu pour ses travaux sur l&#x27;électricité et pour l&#x27;invention de la première pile électrique. 1745 à Côme-1827 à Côme "				
Amedeo Avogadro 	Scientifiques italiens 	"Auteur d&#x27;une célèbre loi selon laquelle il y a le même nombre de molécules dans des volumes égaux de gaz différents, à la même température et à la même pression. 1776 à Turin-1856 à Turin "				
Camillo Golgi 	Scientifiques italiens 	"Médecin qui étudia le système nerveux et a laissé son nom à un organite des cellules (l&#x27;appareil de ...). Colauréat avec Santiago Ramón y Cajal du prix Nobel de physiologie ou médecine en 1906. 1843 à Corteno-1926 à Pavie "				
Giuseppe Mercalli 	Scientifiques italiens 	"Sismologue et volcanologue célèbre pour l&#x27;échelle qui porte son nom, qui mesure l&#x27;intensité des séismes sur la base des effets produits. 1850 à Milan-1914 à Naples "				
Maria Montessori 	Scientifiques italiens 	"Médecin et pédagogue italienne célèbre pour sa pédagogie reposant sur l&#x27;éducation sensorielle et kinesthésique de l&#x27;enfant. 1870 à Chiaravalle (Marches)-1952 à Noordwijk aan Zee (Pays-Bas) "				
Guglielmo Marconi 	Scientifiques italiens 	Physicien qui réalisa les premières liaisons par ondes hertziennes. Colauréat du prix Nobel de physique pour son développement de la télégraphie sans fil. 1874 à Bologne-1937 à Rome 				
Enrico Fermi 	Scientifiques italiens 	"Physicien dont les recherches servirent de socle à l&#x27;exploitation de l&#x27;énergie nucléaire. 1901 à Rome-1954 à Chicago "				
Johannes Kepler 	Scientifiques allemands nés entre 1550 et 1840 	"Astronome qui découvrit les lois du mouvement des planètes, lois qui portent aujourd&#x27;hui son nom. 1571 à Weil der Stadt - 1630 à Ratisbonne "				
Gottfried Wilhelm Leibniz 	Scientifiques allemands nés entre 1550 et 1840 	"Savant qui inventa le calcul infinitésimal et créa les notations de la différentielle et de l&#x27;intégrale. 1646 à Leipzig - 1716 à Hanovre "				
Gabriel Fahrenheit 	Scientifiques allemands nés entre 1550 et 1840 	"Inventeur d&#x27;une échelle de température qui porte son nom. 1686 à Danzig (actuel Gdansk en Pologne) - 1736 à La Haye (Pays-Bas) "				
William Herschel 	Scientifiques allemands nés entre 1550 et 1840 	Astronome qui découvrit la planète Uranus. 1738 à Hanovre - 1822 à Slough 				
Alexander von Humboldt 	Scientifiques allemands nés entre 1550 et 1840 	Explorateur, naturaliste et géographe qui effectua notamment un long voyage en Amérique et a laissé son nom à un courant du Pacifique. 1769 à Berlin - 1859 à Berlin 				
Carl Friedrich Gauss 	Scientifiques allemands nés entre 1550 et 1840 	Mathématicien et physicien ayant fait de nombreuses découvertes, notamment utiles en algèbre, statistiques et électromagnétisme. Il était surnommé &quot;le Prince des mathématiciens&quot;. 1777 à Brunswick - 1855 à Göttingen 				
Georg Ohm 	Scientifiques allemands nés entre 1550 et 1840 	"Physicien ayant découvert une loi reliant la tension et l&#x27;intensité, loi qui porte aujourd&#x27;hui son nom. 1789 à Erlangen - 1854 à Munich "				
Justus von Liebig 	Scientifiques allemands nés entre 1550 et 1840 	"Chimiste auteur de découvertes en chimie organique, qu&#x27;il appliqua à l&#x27;agriculture, par exemple en inventant l&#x27;engrais azoté. 1803 à Darmstadt – 1873 à Munich "				
Werner von Siemens 	Scientifiques allemands nés entre 1550 et 1840 	"Réalisa la première locomotive électrique , son nom désigne l&#x27;unité du système international pour la conductance électrique. 1816 à Lenthe - 1892 à Berlin "				
Ernst Haeckel 	Scientifiques allemands nés entre 1550 et 1840 	"Biologiste qui décrivit de nombreuses espèces, notamment à travers des planches très détaillées , vulgarisateur qui contribua à diffuser la théorie de l&#x27;évolution. 1834 à Potsdam - 1919 à Iéna "				
Robert Koch 	Scientifiques allemands nés entre 1840 et 1920 	Médecin allemand connu pour sa découverte de la bactérie responsable de la tuberculose. Prix Nobel de physiologie ou médecine en 1905. 1843 à Clausthal-1910 à Baden-Baden 				
Carl Benz 	Scientifiques allemands nés entre 1840 et 1920 	Mit au point un moteur à gaz à deux temps et fit breveter sa première voiture, un tricycle mû par un moteur à essence. 1844 à Mühlburg-1929 à Ladenburg 				
Wilhelm Röntgen 	Scientifiques allemands nés entre 1840 et 1920 	Physicien qui découvrit les rayons X. Prix Nobel de physique en 1901. 1845 à Lennep-1923 à Munich 				
Heinrich Rudolf Hertz 	Scientifiques allemands nés entre 1840 et 1920 	Ingénieur et physicien allemand renommé pour avoir découvert les ondes auxquelles il a donné son nom. 1857 à Hambourg-1894 à Bonn 				
Rudolf Diesel 	Scientifiques allemands nés entre 1840 et 1920 	Inventeur du moteur à combustion interne portant son nom. 1858 à Paris-1913 en mer du Nord 				
Max Planck 	Scientifiques allemands nés entre 1840 et 1920 	"Physicien qui est l&#x27;un des fondateurs de la mécanique quantique. Lauréat du prix Nobel de physique en 1918 pour ses travaux en théorie des quanta. 1858 à Kiel-1947 à Göttingen "				
Alois Alzheimer 	Scientifiques allemands nés entre 1840 et 1920 	"Psychiatre et neurologue ayant décrit une démence qui porte aujourd&#x27;hui son nom. 1864 à Marktbreit-1915 à Breslau (aujourd&#x27;hui Wroclaw en Pologne) "				
Felix Hoffmann 	Scientifiques allemands nés entre 1840 et 1920 	"Scientifique principalement connu pour avoir synthétisé l&#x27;acide acétylsalicylique commercialisée par Bayer sous le nom d&#x27;aspirine. 1868 à Ludwigsbourg-1946 à Lausanne "				
Albert Einstein 	Scientifiques allemands nés entre 1840 et 1920 	"Auteur d&#x27;une théorie de la relativité restreinte et d&#x27;une théorie de la gravitation dite relativité générale. Lauréat du prix Nobel de physique en 1921 pour son explication de l’effet photoélectrique. 1879 à Ulm - 1955 à Princeton "				
Werner Heisenberg 	Scientifiques allemands nés entre 1840 et 1920 	"Physicien qui contribua à fonder la physique quantique , auteur du principe d&#x27;incertitude et lauréat du prix Nobel de physique en 1932. 1901 à Wurtzbourg -1976 à Munich "				
Wernher von Braun 	Scientifiques allemands nés entre 1840 et 1920 	Ingénieur ayant joué un rôle majeur dans le développement des fusées. 1912 à Wirsitz - 1977 à Alexandria (Etats-Unis) 				
Thalès 	Scientifiques grecs 	"On lui attribue la première mesure exacte du temps, des connaissances sur les rapports des angles. Il dut sa célébrité à la prédiction d&#x27;une éclipse de Soleil , aujourd&#x27;hui connu pour un théorème de géométrie. Vers -625 à Milet-vers -547 à Milet "				
Anaximandre 	Scientifiques grecs 	"Il serait l&#x27;auteur de la première carte géographique et de la première carte céleste. Vers -610 à Milet-vers -546 à Milet "				
Pythagore 	Scientifiques grecs 	"Fondateur d&#x27;une école mathématique et mystique, on a donné son nom au théorème qui met en relation les longueurs des côtés dans un triangle rectangle. Vers -580 à Samos-vers -495 à Métaponte "				
Hippocrate 	Scientifiques grecs 	"Il fut le plus grand médecin de l&#x27;Antiquité. Son éthique est à l&#x27;origine du serment que prêtent les médecins. Vers -460 dans l&#x27;île de Cos-vers -370 à Larissa "				
Euclide 	Scientifiques grecs 	"Mathématicien auteur des Éléments, traité qui constitue l&#x27;un des textes fondateurs de cette discipline en Occident. Il aurait vécu vers - 300. "				
Ératosthène 	Scientifiques grecs 	"Grâce à la mesure ingénieuse d&#x27;un arc de méridien, il fut le premier à évaluer correctement la circonférence de la Terre. Vers -276 à Cyrène-vers -194 à Alexandrie "				
Archimède 	Scientifiques grecs 	"Physicien, mathématicien et ingénieur ayant travaillé sur l&#x27;hydrostatique, la mécanique statique et l&#x27;explication du principe du levier. Mort pendant le siège de Syracuse. Vers -287 à Syracuse-vers -212 à Syracuse "				
Ptolémée 	Scientifiques grecs 	"Astronome et géographe auteur de deux traités majeurs : l&#x27;Almageste et la Géographie. Vers 90 à Ptolémaïs de Thébaïde (Haute-Égypte)-vers 168 à Canope "				
Claude Galien 	Scientifiques grecs 	"Médecin ayant fait d&#x27;importantes découvertes en anatomie et considéré comme l&#x27;un des pères de la pharmacie. Son œuvre reposait sur l&#x27;existence hypothétique des &quot;humeurs&quot;. Vers 129 à Pergame-vers 200 "				
Sommet 	Vocabulaire du triangle 	"Extrémité commune de deux côtés d&#x27;un triangle "				
Côté 	Vocabulaire du triangle 	Un des trois segments composant un triangle 				
Médiane 	Vocabulaire du triangle 	Droite qui relie un sommet au milieu du côté opposé 				
Médiatrice 	Vocabulaire du triangle 	"Droite qui passe perpendiculairement au milieu d&#x27;un côté "				
Hauteur 	Vocabulaire du triangle 	Droite qui passe par un sommet et est perpendiculaire au côté opposé 				
Bissectrice 	Vocabulaire du triangle 	Demi-droite qui coupe en deux angles égaux un angle du triangle 				
Centre du cercle circonscrit 	Vocabulaire du triangle 	"Point d&#x27;intersection des trois médiatrices d&#x27;un triangle "				
