#separator:tab
#html:true
#tags column:7
Vercors 	Régions naturelles de France  	Dans l'est de la Drôme et le sud-ouest de l'Isère 	Ce plateau, culminant à 2341 mètres au Grand Veymont, est bordé d'impressionnantes falaises qui ont favorisé l'implantation d'un maquis sous l'Occupation. 			
Toulouse 	Surnoms de villes de France  	La Ville rose 	Ville qui doit son surnom à la couleur des murs de briques de ses maisons, mais aussi aux notions de séduction, jeunesse et féminité souvent associées à cette couleur et à cette ville par les poètes de l'Académie des Jeux floraux, qui y siège. <img src=https://www.quizypedia.fr/site_media/images/065/065887368159.jpeg>			
Agde 	Surnoms de villes de France  	La Cité de l'éphèbe 	Ville méditerranéenne ainsi surnommée depuis la découverte, en 1964, dans le lit de l'Hérault, face à la cathédrale Saint-Étienne, d'une statue antique en bronze rappelant le style du sculpteur Lysippe, et qui pourrait représenter Alexandre le Grand. <img src=https://www.quizypedia.fr/site_media/images/377/377148128298.jpeg>			
Albi 	Surnoms de villes de France  	La Ville rouge 	Ville qui doit son surnom à la couleur des briques utilisées pour la construction de son centre historique, et notamment de la cathédrale Sainte-Cécile. <img src=https://www.quizypedia.fr/site_media/images/541/541601505851.jpeg>			
Caen 	Surnoms de villes de France  	La Ville aux cent clochers 	"Ville qui doit son surnom (qui est aussi celui de Rouen, sa voisine) au grand nombre d'édifices religieux qui s'y trouvent, parmi lesquels les deux célèbres abbayes dites ""abbaye aux Hommes"" et ""abbaye aux Dames"". <img src=https://www.quizypedia.fr/site_media/images/386/386167249127.jpeg>"			
Douai 	Surnoms de villes de France  	La Cité des géants 	Le surnom de cette ville fait référence à la fête populaire qui accompagne en juillet la procession de la famille Gayant : le père, solide gaillard en osier (8,50 m et 370 kg), sa femme Marie (6,25 m et 250 kg) et leurs enfants Jacquot, Fillon et Binbin. <img src=https://www.quizypedia.fr/site_media/images/588/588015981829.jpeg>			
Le Havre 	Surnoms de villes de France  	La Porte Océane 	Un monument, conçu comme une ouverture donnant accès à la mer, a donné son surnom à cette ville normande : c'est l'ensemble dominé par deux tours jumelles de 13 étages, construit après la guerre, selon les plans d'Auguste Perret. <img src=https://www.quizypedia.fr/site_media/images/580/580256762350.jpeg>			
Lunéville 	Surnoms de villes de France  	Le Versailles lorrain 	Ville qui doit son surnom à la somptuosité de son château : un ci-devant roi polonais en exil habita et fit réaménager à son goût cette demeure, qui pouvait rivaliser avec celle qu'occupait alors son gendre, le roi de France Louis XV. <img src=https://www.quizypedia.fr/site_media/images/237/237720693596.jpeg>			
Martigues 	Surnoms de villes de France  	La Venise provençale 	Située en bordure de l'étang de Berre, cette ville doit son surnom aux canaux qui la traversent, sur lesquels se déroulent de fameuses joutes annuelles. Ce surnom est le titre d'une chanson très populaire créée par Alibert. <img src=https://www.quizypedia.fr/site_media/images/792/792005349530.jpeg>			
Montpellier 	Surnoms de villes de France  	La Surdouée 	Ville que son ancien maire Georges Frêche dota de ce surnom flatteur, en raison de son patrimoine culturel, de son dynamisme économique, de son attractivité, de son cadre de vie et de la qualité de ses universités. <img src=https://www.quizypedia.fr/site_media/images/798/798821562743.jpeg>			
Nice 	Surnoms de villes de France  	La Cité des anges 	Les créatures citées dans le surnom de cette ville et de sa superbe baie ne sont pas des habitants célestes, mais des poissons, sorte de requins inoffensifs que les pêcheurs ramènent souvent dans leurs filets, et dont les ailerons ressemblent à des ailes. <img src=https://www.quizypedia.fr/site_media/images/703/703910773747.jpeg>			
Nîmes 	Surnoms de villes de France  	La Rome française 	Des monuments exceptionnellement bien conservés, hérités de son riche passé antique, justifient le surnom de cette ville languedocienne. <img src=https://www.quizypedia.fr/site_media/images/644/644708884295.jpeg>			
Paris 	Surnoms de villes de France  	La Ville lumière 	Ville ainsi surnommée depuis le XVIIe siècle, parce qu'elle fut la première au monde à bénéficier d'un éclairage public : le lieutenant de police La Reynie fit alors disposer des milliers de flambeaux dans les rues et sur les façades. <img src=https://www.quizypedia.fr/site_media/images/370/370381531634.jpeg>			
Saint-Malo 	Surnoms de villes de France  	La Cité corsaire 	"Ville natale de nombreux navigateurs, tels Robert Surcouf et René Duguay-Trouin, qui  recevaient du gouvernement l'autorisation de pratiquer la ""guerre de course"" contre les navires marchands de l'ennemi. <img src=https://www.quizypedia.fr/site_media/images/535/535379994375.jpeg>"			
La nation arc-en-ciel 	Périphrases désignant un pays 	Afrique du Sud 				
L'île d'Aphrodite 	Périphrases désignant un pays 	Chypre 				
Le pays du Matin calme 	Périphrases désignant un pays 	Corée 				
Le Tigre de la Baltique 	Périphrases désignant un pays 	Estonie 				
Finlande 	Périphrases désignant un pays 	 Le pays des mille lacs				leech
La Perle des Antilles 	Périphrases désignant un pays 	Haïti 				
Le pays des deux fleuves 	Périphrases désignant un pays 	Irak 				
La Verte Erin 	Périphrases désignant un pays 	Irlande 				
Le pays du soleil levant 	Périphrases désignant un pays 	Japon 				
Le pays du cèdre 	Périphrases désignant un pays 	Liban 				
 Népal 	Périphrases désignant un pays 	Le Toit du monde				
Le pays des œillets 	Périphrases désignant un pays 	Portugal 				
Thaïlande	Périphrases désignant un pays 	 Le pays du sourire				
La Petite Russie 	Périphrases désignant un pays 	Ukraine 				
La Perfide Albion 	Périphrases désignant un pays 	Grande-Bretagne 				
Aigle à deux têtes 	Animaux sur les drapeaux de pays 	Albanie <img src=https://www.quizypedia.fr/site_media/images/393/393207055210.jpeg>				
Dragon blanc (Druk) 	Animaux sur les drapeaux de pays 	Bhoutan <img src=https://www.quizypedia.fr/site_media/images/994/994234492570.jpeg>				
Amazone impériale (ou Sisserou) 	Animaux sur les drapeaux de pays 	Dominique <img src=https://www.quizypedia.fr/site_media/images/757/757358133320.jpeg>				
Aigle de Saladin 	Animaux sur les drapeaux de pays 	Égypte <img src=https://www.quizypedia.fr/site_media/images/180/180014223903.jpeg>				
Condor 	Espèces d'oiseaux  	De Californie, des Andes 				botanimaux quizypedia
Quetzal 	Animaux sur les drapeaux de pays 	Guatemala <img src=https://www.quizypedia.fr/site_media/images/639/639448349668.jpeg>				
Aigle des steppes 	Animaux sur les drapeaux de pays 	Kazakhstan <img src=https://www.quizypedia.fr/site_media/images/023/023808498204.jpeg>				
Frégate 	Animaux sur les drapeaux de pays 	Kiribati <img src=https://www.quizypedia.fr/site_media/images/599/599551589180.jpeg>				
Aigle (caracara) dévorant un serpent 	Animaux sur les drapeaux de pays 	Mexique <img src=https://www.quizypedia.fr/site_media/images/484/484444816362.jpeg>				
Grue royale 	Animaux sur les drapeaux de pays 	Ouganda <img src=https://www.quizypedia.fr/site_media/images/980/980643337214.jpeg>				
Oiseau de paradis 	Animaux sur les drapeaux de pays 	Papouasie-Nouvelle-Guinée <img src=https://www.quizypedia.fr/site_media/images/622/622305032030.jpeg>				
Lion 	Les félins sauvages 	"De nom scientifique Panthera leo, il est surnommé ""le roi des animaux"". "	<img src=http://www.quizypedia.fr/site_media/images/f%C3%A9lins/lion.jpg>			botanimaux quizypedia
Aigle pêcheur d'Afrique (ou Pygargue vocifère) 	Animaux sur les drapeaux de pays 	Zambie <img src=https://www.quizypedia.fr/site_media/images/559/559106066488.jpeg>				
Oiseau Zimbabwe 	Animaux sur les drapeaux de pays 	Zimbabwe <img src=https://www.quizypedia.fr/site_media/images/935/935680000189.jpeg>				
Bronx 	Les cinq arrondissements de New York 	Arrondissement new-yorkais situé le plus au nord et le seul à être situé sur le continent. On y trouve le Yankee Stadium et le Jardin botanique de New York. 	<img src=https://www.quizypedia.fr/site_media/images/224/224837092045.jpeg>			
Brooklyn 	Les cinq arrondissements de New York 	Arrondissement le plus peuplé de New York. Il est situé à l'extrémité ouest de Long Island. Il donne son nom à un célèbre pont qui traverse l'East River. 	<img src=https://www.quizypedia.fr/site_media/images/004/004396518326.jpeg>			
Manhattan 	Les cinq arrondissements de New York 	Arrondissement situé sur l'île du même nom. On y trouve de nombreux lieux et monuments emblématiques de New York comme Wall Street, l’Empire State Building ou le Metropolitan Museum of Art. 	<img src=https://www.quizypedia.fr/site_media/images/923/923545762974.jpeg>			
Queens 	Les cinq arrondissements de New York 	Arrondissement le plus étendu de la ville de New York. Il abrite l'aéroport international John-F.-Kennedy ainsi que l'aéroport international LaGuardia. Il occupe une partie de l'île de Long Island. 	<img src=https://www.quizypedia.fr/site_media/images/191/191719720214.jpeg>			
Staten Island 	Les cinq arrondissements de New York 	Arrondissement le moins peuplé de New York. Il est relié à l'île de Long Island par le pont de Verrazzano. 	<img src=https://www.quizypedia.fr/site_media/images/809/809849120267.jpeg>			
Açores 	Les 7 régions du Portugal 	Ponta Delgada 	<img src=https://www.quizypedia.fr/site_media/images/751/751715066671.jpeg>			
Alentejo 	Les 7 régions du Portugal 	Évora 	<img src=https://www.quizypedia.fr/site_media/images/861/861975812075.jpeg>			
Algarve 	Les 7 régions du Portugal 	Faro 	<img src=https://www.quizypedia.fr/site_media/images/127/127557125855.jpeg>			
Madère 	Les 7 régions du Portugal 	Funchal 	<img src=https://www.quizypedia.fr/site_media/images/415/415060222871.jpeg>			
Région du Centre 	Les 7 régions du Portugal 	Coimbra 	<img src=https://www.quizypedia.fr/site_media/images/354/354179689298.jpeg>			
Région de Lisbonne 	Les 7 régions du Portugal 	Lisbonne 	<img src=https://www.quizypedia.fr/site_media/images/024/024214170485.jpeg>			
Région du Nord 	Les 7 régions du Portugal 	Porto 	<img src=https://www.quizypedia.fr/site_media/images/967/967841582635.jpeg>			leech
Basse-Autriche 	Les 9 länder autrichiens 	Sankt Pölten 	<img src=https://www.quizypedia.fr/site_media/images/594/594755964563.jpeg>			
Burgenland 	Les 9 länder autrichiens 	Eisenstadt 	<img src=https://www.quizypedia.fr/site_media/images/943/943189020213.jpeg>			
Carinthie 	Les 9 länder autrichiens 	Klagenfurt 	<img src=https://www.quizypedia.fr/site_media/images/645/645562847664.jpeg>			
Haute-Autriche 	Les 9 länder autrichiens 	Linz 	<img src=https://www.quizypedia.fr/site_media/images/696/696062818094.jpeg>			
Salzbourg 	Les 9 länder autrichiens 	Salzbourg 	<img src=https://www.quizypedia.fr/site_media/images/670/670603013343.jpeg>			
Styrie 	Les 9 länder autrichiens 	Graz 	<img src=https://www.quizypedia.fr/site_media/images/877/877828507531.jpeg>			
Tyrol 	Les 9 länder autrichiens 	Innsbruck 	<img src=https://www.quizypedia.fr/site_media/images/376/376575458925.jpeg>			
Vienne 	Les 9 länder autrichiens 	Vienne 	<img src=https://www.quizypedia.fr/site_media/images/222/222907765112.jpeg>			
Vorarlberg 	Les 9 länder autrichiens 	Brégence 	<img src=https://www.quizypedia.fr/site_media/images/955/955645474730.jpeg>			
Brabant-Septentrional 	Les douze provinces des Pays-Bas 	Bois-le-Duc 	<img src=https://www.quizypedia.fr/site_media/images/947/947198983499.jpeg>			
Drenthe 	Les douze provinces des Pays-Bas 	Assen 	<img src=https://www.quizypedia.fr/site_media/images/704/704186599070.jpeg>			
Flevoland 	Les douze provinces des Pays-Bas 	Lelystad 	<img src=https://www.quizypedia.fr/site_media/images/517/517804009191.jpeg>			
Groningue 	Les douze provinces des Pays-Bas 	Groningue 	<img src=https://www.quizypedia.fr/site_media/images/024/024624309314.jpeg>			
Gueldre 	Les douze provinces des Pays-Bas 	Arnhem 	<img src=https://www.quizypedia.fr/site_media/images/372/372434754925.jpeg>			
Hollande-Méridionale 	Les douze provinces des Pays-Bas 	La Haye 	<img src=https://www.quizypedia.fr/site_media/images/682/682922901849.jpeg>			
Hollande-Septentrionale 	Les douze provinces des Pays-Bas 	Haarlem 	<img src=https://www.quizypedia.fr/site_media/images/716/716325708194.jpeg>			
Limbourg 	Les douze provinces des Pays-Bas 	Maastricht 	<img src=https://www.quizypedia.fr/site_media/images/850/850411950287.jpeg>			
Overijssel 	Les douze provinces des Pays-Bas 	Zwolle 	<img src=https://www.quizypedia.fr/site_media/images/727/727457932614.jpeg>			
Utrecht 	Les douze provinces des Pays-Bas 	Utrecht 	<img src=https://www.quizypedia.fr/site_media/images/913/913023358679.jpeg>			
Zélande 	Les douze provinces des Pays-Bas 	Middelbourg 	<img src=https://www.quizypedia.fr/site_media/images/484/484785444553.jpeg>			
Appenzell Rhodes-Extérieures 	Les cantons suisses  	Herisau 	<img src=https://www.quizypedia.fr/site_media/images/897/897030533247.jpeg>			
Appenzell Rhodes-Intérieures 	Les cantons suisses  	Appenzell 	<img src=https://www.quizypedia.fr/site_media/images/955/955186354268.jpeg>			
Argovie 	Les cantons suisses  	Aarau 	<img src=https://www.quizypedia.fr/site_media/images/821/821656299187.jpeg>			
Bâle-Campagne 	Les cantons suisses  	Liestal 	<img src=https://www.quizypedia.fr/site_media/images/542/542216752994.jpeg>			
Bâle-Ville 	Les cantons suisses  	Bâle 	<img src=https://www.quizypedia.fr/site_media/images/260/260782997681.jpeg>			
Berne 	Les cantons suisses  	Berne 	<img src=https://www.quizypedia.fr/site_media/images/653/653986849517.jpeg>			
Fribourg 	Les cantons suisses  	Fribourg 	<img src=https://www.quizypedia.fr/site_media/images/012/012807603040.jpeg>			
Genève 	Les cantons suisses  	Genève 	<img src=https://www.quizypedia.fr/site_media/images/370/370807370873.jpeg>			
Glaris 	Les cantons suisses  	Glaris Centre 	<img src=https://www.quizypedia.fr/site_media/images/807/807298241330.jpeg>			
Grisons 	Les cantons suisses  	Coire 	<img src=https://www.quizypedia.fr/site_media/images/635/635890987211.jpeg>			
Jura 	Les cantons suisses  	Delémont 	<img src=https://www.quizypedia.fr/site_media/images/881/881825987072.jpeg>			
Lucerne 	Les cantons suisses  	Lucerne 	<img src=https://www.quizypedia.fr/site_media/images/701/701993417612.jpeg>			
Neuchâtel 	Les cantons suisses  	Neuchâtel 	<img src=https://www.quizypedia.fr/site_media/images/163/163398357251.jpeg>			
Alberta 	Les provinces et territoires fédéraux du Canada 	Edmonton (ville la plus peuplée : Calgary) 	<img src=https://www.quizypedia.fr/site_media/images/622/622335256902.jpeg>			
Colombie-Britannique 	Les provinces et territoires fédéraux du Canada 	Victoria (ville la plus peuplée : Vancouver) 	<img src=https://www.quizypedia.fr/site_media/images/615/615379300025.jpeg>			
Île-du-Prince-Édouard 	Les provinces et territoires fédéraux du Canada 	Charlottetown 	<img src=https://www.quizypedia.fr/site_media/images/631/631669379495.jpeg>			
Manitoba 	Les provinces et territoires fédéraux du Canada 	Winnipeg 	<img src=https://www.quizypedia.fr/site_media/images/397/397099544646.jpeg>			
Nouveau-Brunswick 	Les provinces et territoires fédéraux du Canada 	Fredericton (ville la plus peuplée : Moncton) 	<img src=https://www.quizypedia.fr/site_media/images/345/345760268964.jpeg>			
Nouvelle-Écosse 	Les provinces et territoires fédéraux du Canada 	Halifax 	<img src=https://www.quizypedia.fr/site_media/images/377/377963008878.jpeg>			
Ontario 	Les provinces et territoires fédéraux du Canada 	Toronto 	<img src=https://www.quizypedia.fr/site_media/images/445/445748491593.jpeg>			
Québec 	Les provinces et territoires fédéraux du Canada 	Québec (ville la plus peuplée : Montréal) 	<img src=https://www.quizypedia.fr/site_media/images/677/677829553630.jpeg>			
Saskatchewan 	Les provinces et territoires fédéraux du Canada 	Regina (ville la plus  peuplée : Saskatoon) 	<img src=https://www.quizypedia.fr/site_media/images/722/722472073940.jpeg>			
Terre-Neuve-et-Labrador 	Les provinces et territoires fédéraux du Canada 	Saint-John's 	<img src=https://www.quizypedia.fr/site_media/images/832/832357445700.jpeg>			
Nunavut 	Les provinces et territoires fédéraux du Canada 	Iqaluit 	<img src=https://www.quizypedia.fr/site_media/images/493/493161732843.jpeg>			
Territoires du Nord-Ouest 	Les provinces et territoires fédéraux du Canada 	Yellowknife 	<img src=https://www.quizypedia.fr/site_media/images/720/720268754569.jpeg>			
Yukon 	Les provinces et territoires fédéraux du Canada 	Whitehorse 	<img src=https://www.quizypedia.fr/site_media/images/560/560290560618.jpeg>			
Mer Méditerranée 	Mers du monde  	"Appelée mare nostrum par les Romains, cette mer intercontinentale communique avec l'océan Atlantique par le détroit de Gibraltar. Son nom signifie ""au milieu des terres"". Nil, Rhône "	Entre l'Europe, l'Afrique et le Proche-Orient 	<img src=https://www.quizypedia.fr/site_media/images/907/907593727908.jpeg>		
Mer Noire 	Mers du monde  	Appelée Pont Euxin durant l'Antiquité, cette mer communique avec la mer Méditerranée via la mer de Marmara. Danube, Dniestr, Dniepr 	Entourée par la Bulgarie, la Roumanie, l'Ukraine, la Russie, la Géorgie et la Turquie 	<img src=https://www.quizypedia.fr/site_media/images/837/837602890692.jpeg>		
Mer d'Azov 	Mers du monde  	Cette petite mer peu profonde, appelée lac Méotide durant l'Antiquité, est reliée à la mer Noire par le détroit de Kertch. Elle porte le nom d'une ville arrosée par le Don. Don, Kouban 	Entre l'Ukraine et la Russie, près de la Crimée 			
Manche 	Mers du monde  	Cette mer très fréquentée et relativement étroite est séparée de la mer du Nord par le pas de Calais. Seine, Somme, Rance 	Entre le sud de la Grande-Bretagne et la France 	<img src=https://www.quizypedia.fr/site_media/images/247/247267819872.jpeg>		
Mer du Nord 	Mers du monde  	Cette mer communique avec la mer Baltique via le Skagerrak et le Cattégat. Elle compte de nombreuses plateformes pétrolières et le Dogger Bank y constitue une importante zone de pêche. Tamise, Escaut, Rhin 	Entre la Grande-Bretagne, les Pays-Bas et la Norvège 	<img src=https://www.quizypedia.fr/site_media/images/235/235562145317.jpeg>		
Mer Baltique 	Mers du monde  	"Cette mer intérieure comporte plusieurs zones mortes (déficitaires en oxygène). Elle comprend la mer de Botnie (à l'entrée du golfe homonyme) et la Väinameri (""mer des détroits""). Oder, Vistule, Daugava "	Entre la Suède, la Finlande et la Pologne 	"<img src=""https://www.quizypedia.fr/site_media/images/167/167307561967.jpeg"">"		
Mer de Norvège 	Mers du monde  	Le littoral de cette mer qui borde l'océan Arctique est découpé de nombreux fjords. 	Entre l'Islande et la Norvège 	<img src=https://www.quizypedia.fr/site_media/images/780/780103869025.jpeg>		
Mer d'Ecosse 	Mers du monde  	Cette mer abrite les archipels des Hébrides, des Shetland et des Orcades. 	Entre les îles Féroé et le nord de la Grande-Bretagne 			
Mer d'Irlande 	Mers du monde  	Cette mer est bornée au nord par le canal du Nord et au sud par le canal Saint-Georges. On y trouve l'île galloise d'Anglesey et l'île de Man. Liffey 	Entre l'Irlande et la Grande-Bretagne 	<img src=https://www.quizypedia.fr/site_media/images/762/762116545816.jpeg>		
Mer Celtique 	Mers du monde  	Le rocher de Fastnet, qui a donné son nom à une célèbre course de voile, se trouve dans cette mer, dont dépend la mer d'Iroise. 	Au sud de l'Irlande, à l'ouest de la Cornouaille et de la Bretagne 			
Mer Blanche 	Mers du monde  	Cette mer se présente sous forme de glace de novembre à avril. Arkhangelsk est son principal port. Dvina septentrionale, Mezen 	Nord-ouest de la Russie, au sud de la mer de Barents avec laquelle elle communique 	"<img alt=""Premium Vector | White sea on the world map vector illustration"" src=""white-sea-world-map-vector-illustration_601298-12924.jpg"">"		
Mer de Barents 	Mers du monde  	Cadre de la tragédie du Koursk en 2000, cette dépendance de l'océan Arctique porte le nom d'un navigateur néerlandais qui y trouva la mort en 1597. Mourmansk est son principal port. Petchora 	Entre la Laponie, le Spitzberg et la Nouvelle-Zemble 	<img src=https://www.quizypedia.fr/site_media/images/482/482279870986.jpeg>		
Mer de Béring 	Mers du monde  	Cette mer de l'océan Pacifique, limitée au sud par les îles Aléoutiennes, porte le nom d'un navigateur danois qui a aussi donné son nom à un détroit. 	Entre l'Alaska et la Sibérie 			
Mer de Beaufort 	Mers du monde  	Cette mer de l'océan Arctique porte le nom d'un hydrologue anglais, qui a laissé son nom à une échelle utilisée pour la mesure de la force du vent. 	Au nord de l'Alaska et du Canada (de Point Barrow à l'île Banks) 			
Mer de Baffin 	Mers du monde  	Parfois considérée comme une baie, cette mer qui porte le nom d'un explorateur britannique, communique par le détroit de Davis avec la mer du Labrador. La base aérienne américaine de Thulé se trouve sur ses rives. 	Entre le Groenland et les îles canadiennes de Baffin et d'Ellesmere 			
Mer de Lincoln 	Mers du monde  	Nommée en référence à un homme politique, fils d'un président des Etats-Unis, cette mer est bordée à l'est par la mer de Wandel. Sur ses rives, la base canadienne d'Alert est le lieu habité le plus septentrional de la planète. 	Au nord de l'île d'Ellesmere (Canada) et du Groenland 	"<img src=""Lincoln_Sea_map-fr.svg.png"">"		
Mer du Groenland 	Mers du monde  	Cette mer est la principale ouverture entre l'océan Arctique et l'océan Atlantique. Elle s'engouffre dans le Scoresbysund, le plus grand fjord au monde. 	Entre le Groenland, l'Islande et l'île Spitzberg 			
Mer du Labrador 	Mers du monde  	Cette mer porte le nom d'une péninsule canadienne, qui a aussi laissé son nom à une race de chien. 	Entre le nord-est du Canada et le sud-est du Groenland (jusqu'au cap Farvel) 	"<img src=""labrador-sea-seas-labrador-sea-map.jpg"">"		
Baie d'Hudson 	Mers du monde  	Cette vaste mer intérieure, généralement considérée comme une baie, porte le nom d'un explorateur anglais. Elle est prolongée par la baie James au sud-est. 	Entre le Nunavut, le Manitoba, l'Ontario et le Québec 			
Mer des Sargasses 	Mers du monde  	Cette mer tire son nom d'une espèce d'algues, qui s'y accumule en surface. Elle ne possède pas de côtes (si l'on excepte celles des Bermudes proches de sa partie occidentale). 	Dans l'Atlantique Nord, au large de la côte est des Etats-Unis 	"<img src=""Locator-map-Sargasso-Sea.jpg"">"		
Mer des Caraïbes 	Mers du monde  	Cette mer, aussi appelée mer des Antilles, communique avec le golfe du Mexique par le canal du Yucatan. 	En Amérique centrale, au sud-est du golfe du Mexique. 			
Mer d'Argentine 	Mers du monde  	Cette mer porte le nom du principal pays qui la borde. Son littoral est entaillé par les golfes San Matias et San Jorge. 	Du Rio de la Plata à la Terre de Feu 			
Mer de Scotia 	Mers du monde  	Cette mer traversée par Ernest Shakelton en 1916 porte le nom d'un navire écossais. 	Entre l'est de la Terre de Feu, la Géorgie du Sud, les îles Sandwich du Sud et la péninsule Antarctique. 	"<img src=""17065186679912935244218319716842937524076576174417.png"">"		
Mer de Kara 	Mers du monde  	Un gigantesque gisement d'hydrocarbures, nommé Podeba, a été découvert en 2014 dans le sous-sol de cette mer de l'Arctique, reliée à la mer de Barents par un détroit homonyme. Ob, Ienisseï 	Au nord de la Sibérie occidentale, entre la Nouvelle-Zemble et l'archipel de la terre du Nord 	"<img alt=""Premium Vector | Kara sea on the world map vector illustration"" src=""kara-sea-world-map-vector-illustration_601298-12628.jpg"">"		
Mer des Laptev 	Mers du monde  	"Cette mer de l'océan Arctique, appelée à l'origine ""mer de Nordenskiöld"", porte le nom de deux explorateurs russes du 18e siècle. Lena, Olenek "	Au nord de la Sibérie centrale, entre l'archipel de la Terre du Nord et celui de Nouvelle-Sibérie 	"<img alt=""Premium Vector | Laptev sea on the world map vector illustration"" src=""laptev-sea-world-map-vector-illustration_601298-12807.jpg"">"		
Mer de Sibérie orientale 	Mers du monde  	Pevek est le principal port de cette mer de l'océan Arctique, dont le nom évoque une vaste région de Russie. Kolyma, Indiguirka 	Au nord de la Iakoutie (Russie), entre l'archipel de Nouvelle-Sibérie et l'île Wrangel 	"<img alt=""Mare della siberia orientale sulla mappa del mondo illustrazione vettoriale  | Vettore Premium"" src=""east-siberian-sea-world-map-vector-illustration_601298-12398.jpg"">"		
